5
0,1,2
0,5,3
0,6,14
0,8,8
0,17,13
0,18,4
0,19,24
0,21,7
0,22,1
1,1,10
1,2,17
1,6,6
1,7,18
1,10,22
1,11,16
1,13,12
1,18,1
1,22,13
1,23,19
2,1,15
2,2,24
2,3,13
2,4,7
2,8,4
2,10,10
2,13,3
2,14,14
2,16,18
2,21,22
2,22,2
2,23,6
3,2,1
3,3,21
3,6,15
3,8,22
3,11,19
3,12,13
3,16,8
3,21,16
3,22,18
3,23,20
4,1,5
4,4,20
4,5,7
4,6,25
4,7,19
4,11,21
4,12,17
4,13,18
4,14,2
4,15,10
4,16,12
4,17,22
4,18,9
4,19,15
4,20,11
5,0,11
5,4,22
5,5,8
5,7,24
5,8,7
5,9,1
5,10,5
5,14,13
5,15,16
5,16,17
5,17,25
5,18,23
5,19,2
5,20,4
5,22,6
5,24,19
6,0,16
6,1,9
6,2,12
6,4,17
6,6,19
6,7,22
6,12,18
6,13,21
6,16,20
6,17,6
6,18,13
6,20,7
6,23,23
6,24,11
7,2,6
7,4,21
7,5,9
7,6,16
7,8,3
7,11,22
7,12,20
7,13,19
7,18,15
7,19,8
7,20,25
8,2,23
8,3,5
8,5,2
8,8,11
8,9,17
8,10,8
8,14,16
8,15,12
8,16,9
8,19,21
8,21,3
8,22,10
9,5,6
9,8,12
9,10,9
9,11,1
9,12,25
9,14,3
9,16,11
9,19,7
9,22,21
10,2,9
10,5,23
10,7,5
10,8,17
10,9,4
10,10,16
10,12,11
10,14,22
10,15,18
10,16,2
10,18,21
10,19,13
10,22,7
11,0,4
11,1,6
11,4,5
11,7,2
11,11,18
11,12,21
11,13,24
11,16,19
11,17,3
11,19,12
11,20,23
11,23,17
12,3,12
12,4,11
12,6,7
12,7,3
12,9,24
12,10,17
12,11,20
12,12,15
12,13,13
12,14,19
12,15,1
12,17,5
12,18,8
12,20,6
12,21,9
13,1,22
13,4,14
13,5,19
13,7,6
13,8,16
13,11,8
13,12,9
13,13,7
13,17,24
13,20,3
13,23,1
13,24,18
14,2,21
14,5,25
14,6,13
14,8,20
14,9,8
14,10,12
14,12,14
14,14,10
14,15,9
14,16,16
14,17,15
14,19,6
14,22,4
15,2,25
15,5,24
15,8,18
15,10,4
15,12,3
15,13,10
15,14,5
15,16,1
15,19,14
16,2,5
16,3,3
16,5,17
16,8,23
16,9,7
16,10,13
16,14,18
16,15,19
16,16,21
16,19,22
16,21,11
16,22,12
17,4,18
17,5,10
17,6,8
17,11,25
17,12,23
17,13,2
17,16,5
17,18,16
17,19,11
17,20,9
17,22,3
18,0,17
18,1,20
18,4,2
18,6,22
18,7,16
18,8,6
18,11,7
18,12,12
18,17,9
18,18,3
18,20,18
18,22,23
18,23,24
18,24,25
19,0,6
19,2,4
19,4,16
19,5,1
19,6,11
19,7,12
19,8,25
19,9,3
19,10,19
19,14,21
19,15,17
19,16,23
19,17,8
19,19,18
19,20,2
19,24,14
20,4,4
20,5,14
20,6,24
20,7,11
20,8,19
20,9,23
20,10,21
20,11,17
20,12,16
20,13,8
20,17,1
20,18,2
20,19,9
20,20,13
20,23,5
21,1,1
21,2,14
21,3,23
21,8,9
21,12,19
21,13,5
21,16,24
21,18,12
21,21,8
21,22,17
22,1,16
22,2,11
22,3,8
22,8,1
22,10,6
22,11,4
22,14,23
22,16,15
22,20,14
22,21,12
22,22,9
22,23,10
23,1,21
23,2,3
23,6,17
23,11,15
23,13,25
23,14,20
23,17,4
23,18,10
23,22,16
23,23,11
24,2,20
24,3,2
24,5,16
24,6,5
24,7,8
24,16,6
24,18,19
24,19,25
24,23,3
